Date,Transaction,Name,Memo,Amount
1/2/2026,CREDIT,PAYROLL DEPOSIT,ACME CORP SALARY,3250.00
1/3/2026,DEBIT,TIM HORTONS #3921,COFFEE,-5.60
1/4/2026,DEBIT,LOBLAWS #1042,GROCERIES,-155.30
1/5/2026,DEBIT,SHELL GAS STATION,FUEL,-65.10
1/6/2026,DEBIT,NETFLIX.COM,MONTHLY SUBSCRIPTION,-17.99
1/7/2026,DEBIT,INTERAC e-Transfer TO LANDLORD,JANUARY RENT,-2200.00
1/8/2026,DEBIT,PRESTO TRANSIT,MONTHLY PASS,-156.00
1/9/2026,DEBIT,COSTCO WHOLESALE #441,GROCERIES,-205.15
1/10/2026,DEBIT,TIM HORTONS #3921,LUNCH,-9.80
1/12/2026,DEBIT,AMAZON.CA,NEW YEAR SUPPLIES,-78.45
1/13/2026,DEBIT,SPOTIFY PREMIUM,MONTHLY SUBSCRIPTION,-11.99
1/14/2026,DEBIT,SHOPPERS DRUG MART #2145,COLD MEDICINE,-24.30
1/15/2026,DEBIT,UBER EATS,LUNCH DELIVERY,-26.10
1/16/2026,CREDIT,PAYROLL DEPOSIT,ACME CORP SALARY,3250.00
1/17/2026,DEBIT,GOODLIFE FITNESS,GYM MEMBERSHIP,-55.00
1/18/2026,DEBIT,ROGERS WIRELESS,PHONE BILL,-85.00
1/19/2026,DEBIT,PETRO-CANADA,FUEL,-52.80
1/20/2026,DEBIT,NO FRILLS #3312,GROCERIES,-118.40
1/21/2026,DEBIT,LCBO #423,,-32.50
1/22/2026,DEBIT,ENBRIDGE GAS,UTILITIES,-145.00
1/23/2026,DEBIT,HYDRO ONE,ELECTRICITY,-95.00
1/24/2026,DEBIT,TIM HORTONS #3921,COFFEE,-5.40
1/25/2026,DEBIT,DOLLARAMA #218,HOUSEHOLD,-15.60
1/27/2026,DEBIT,CINEPLEX ENTERTAINMENT,MOVIE,-14.50
1/28/2026,CREDIT,INTERAC e-Transfer FROM MOM,BIRTHDAY MONEY,100.00
1/30/2026,DEBIT,WALMART CANADA #1122,WINTER GEAR,-89.99
