Date,Transaction,Name,Memo,Amount
5/1/2026,DEBIT,INTERAC e-Transfer TO LANDLORD,MAY RENT,-2200.00
5/1/2026,DEBIT,TIM HORTONS #3921,COFFEE,-5.85
5/2/2026,CREDIT,PAYROLL DEPOSIT,ACME CORP SALARY,3250.00
5/3/2026,DEBIT,LOBLAWS #1042,GROCERIES,-142.60
5/4/2026,DEBIT,SHELL GAS STATION,FUEL,-68.30
5/5/2026,DEBIT,NETFLIX.COM,MONTHLY SUBSCRIPTION,-17.99
5/6/2026,DEBIT,PRESTO TRANSIT,MONTHLY PASS,-156.00
5/7/2026,DEBIT,COSTCO WHOLESALE #441,GROCERIES,-175.80
5/8/2026,DEBIT,TIM HORTONS #3921,LUNCH,-11.45
5/9/2026,DEBIT,SPOTIFY PREMIUM,MONTHLY SUBSCRIPTION,-11.99
5/10/2026,DEBIT,UBER EATS,DINNER DELIVERY,-31.20
5/11/2026,DEBIT,SHOPPERS DRUG MART #2145,PHARMACY,-16.50
5/12/2026,DEBIT,AMAZON.CA,HOUSEHOLD ITEMS,-52.30
5/13/2026,DEBIT,PETRO-CANADA,FUEL,-59.10
5/14/2026,DEBIT,NO FRILLS #3312,GROCERIES,-95.40
5/15/2026,CREDIT,PAYROLL DEPOSIT,ACME CORP SALARY,3250.00
5/16/2026,DEBIT,GOODLIFE FITNESS,GYM MEMBERSHIP,-55.00
5/17/2026,DEBIT,ROGERS WIRELESS,PHONE BILL,-85.00
5/17/2026,DEBIT,TIM HORTONS #3921,COFFEE,-5.10
5/18/2026,DEBIT,LCBO #423,,-35.75
5/19/2026,DEBIT,ENBRIDGE GAS,UTILITIES,-110.00
5/19/2026,DEBIT,HYDRO ONE,ELECTRICITY,-76.00
5/20/2026,DEBIT,DOLLARAMA #218,HOUSEHOLD,-9.40
5/20/2026,CREDIT,INTERAC e-Transfer FROM ALEX CHEN,CONCERT TICKETS,40.00
